game_number,Date,Team,Opponent,Name,Projected_PTS,Actual_PTS,Projected_REB,Actual_REB,Projected_AST,Actual_AST,Projected_TOV,Actual_TOV,Projected_STL,Actual_STL,Projected_BLK,Actual_BLK,Projected_FG3A,Actual_FG3A,Projected_PF,Actual_PF,Projected_FGM,Actual_FGM,Projected_FGA,Actual_FGA,Projected_OREB,Actual_OREB,Projected_FTA,Actual_FTA
2,11/1/17,CLE,IND,Jeff Green,7.41,15,2.34,3,0.98,1,0.76,2,0.34,2,0.22,0,0.48,1,1.07,5,2.66,6,6.26,8,0.45,0,1.83,4
2,11/1/17,CLE,IND,Derrick Rose,15.27,19,3.73,4,3.71,1,1.87,2,0.65,0,0.27,0,0.21,0,0.99,2,6.08,9,12.8,13,0.99,1,3.25,2
2,11/1/17,CLE,IND,Kyle Korver,8.61,5,2.45,1,0.91,2,0.77,1,0.4,1,0.43,0,1.99,1,1.35,3,3.06,2,6.09,7,0.07,0,0.56,0
2,11/1/17,LAL,IND,Channing Frye,0.52,0,0.2,0,0.04,0,0.03,0,0.02,0,0.03,0,0.1,0,0.08,0,0.18,0,0.38,0,0.03,0,0.06,0
2,11/1/17,MIA,IND,Dwyane Wade,10.52,5,3.14,1,3.08,4,1.58,1,0.7,0,0.65,0,0.38,0,1.38,4,4.12,2,9.25,7,0.76,0,2.59,2
2,11/1/17,CLE,IND,Cedi Osman,1.51,0,0.69,0,0.42,0,0.23,0,0.09,0,0.09,0,0.1,0,0.22,0,0.6,0,1.31,0,0.17,0,0.29,0
2,11/1/17,CLE,IND,Kevin Love,17.92,13,10.86,13,1.75,3,2.09,0,0.63,0,0.64,1,2,2,2.01,0,6,4,13.53,12,2.5,2,4.5,4
2,11/1/17,CLE,IND,LeBron James,27.28,33,7.84,6,8.76,11,4.17,8,1.07,2,1.04,1,1.53,1,1.55,1,10.68,14,18.65,22,1.1,1,6.09,5
2,11/1/17,UTA,IND,Jae Crowder,6.76,9,3.21,4,1.01,0,0.67,0,0.45,1,0.29,0,1.04,0,1,2,2.29,3,5.22,10,0.45,1,1.55,3
2,11/1/17,CLE,IND,Tristan Thompson,4.49,2,6.77,7,0.56,0,0.54,0,0.27,0,1.03,1,0,0,1.85,1,1.9,1,3.12,1,2.19,3,1.47,0
2,11/1/17,CLE,IND,JR Smith,7.54,6,2.99,2,1.39,3,0.69,2,0.82,0,0.4,0,1.72,2,1.96,1,2.74,2,8.22,6,0.46,0,0.44,0
3,11/1/17,MIL,CHA,John Henson,8.55,4,7.82,10,1.21,6,1.19,4,0.66,1,1.41,1,0,0,3.98,5,3.58,2,7.11,6,1.75,4,2.23,0
3,11/1/17,MIL,CHA,Thon Maker,6.33,5,3.73,1,0.83,0,0.39,2,0.52,0,0.9,0,1.06,1,3.32,3,2.28,2,5.9,4,0.96,0,1,0
3,11/1/17,MIL,CHA,Malcolm Brogdon,13.74,20,3.23,1,4.54,4,1.51,1,1.18,0,0.23,0,1.82,2,3,5,5.2,9,11.77,16,0.57,0,1.76,1
3,11/1/17,MIL,CHA,Khris Middleton,17.37,43,6.07,5,4.01,7,2.15,0,1.24,0,0.31,0,1.87,5,4,4,6.52,15,16.1,28,0.5,2,2.72,10
3,11/1/17,MIL,CHA,Matthew Dellavedova,5.75,3,1.86,3,3.09,3,1.23,1,0.37,0,0,0,0.89,1,1.94,1,2.1,1,5.58,3,0.2,1,0.77,0
3,11/1/17,MIL,CHA,Giannis Antetokounmpo,31.52,14,10.89,13,6.93,5,2.84,3,1.51,2,1.85,2,0.98,0,4.02,5,12.44,5,22.68,16,1.61,1,7.37,4
3,11/1/17,MIL,CHA,Mirza Teletovic,7.03,12,2.6,4,0.92,1,0.55,1,0.44,0,0.22,0,1.94,4,1.83,1,2.41,4,6.87,8,0.19,1,0.52,0
3,11/1/17,MIL,CHA,Tony Snell,8.94,17,3.21,2,1.54,3,0.58,1,0.66,0,0.18,0,1.91,5,2.22,1,3.26,6,7.18,7,0.27,0,0.58,0
3,11/1/17,CHA,MIL,Frank Kaminsky,10.82,11,4.06,3,2.11,4,0.88,1,0.36,0,0.29,0,1.35,0,1.23,0,3.93,5,9.2,9,0.5,1,2.08,1
3,11/1/17,CHA,MIL,Treveon Graham,3.35,0,1.01,2,0.44,5,0.13,1,0.18,1,0.03,0,0.46,0,0.55,6,1.19,0,2.44,1,0.24,1,0.74,0
3,11/1/17,CHA,MIL,Dwayne Bacon,5.69,10,3.9,4,1.66,1,1.02,0,0.33,1,0.25,1,0.57,1,1.11,5,2.06,4,5.31,9,0.52,0,1.54,1
3,11/1/17,CHA,MIL,Dwight Howard,13.12,17,10.61,11,1.33,3,2.49,6,0.42,1,0.74,0,0,0,2.46,4,5.15,6,8.83,10,2.69,2,5.88,11
